time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2016-06-21T13:50:46.000Z,62.9373,-156.054,1.1,1.2,ml,,,,0.13,ak,ak13672876,2016-06-21T14:45:18.242Z,"23km W of McGrath, Alaska",earthquake,1.1,0.4,,,automatic,ak,ak
2016-06-21T13:42:50.540Z,39.4921684,-122.1090012,3.34,1.01,md,6,114,0.2973,0.11,nc,nc72653886,2016-06-21T14:43:03.115Z,"8km ESE of Willows, California",earthquake,0.68,2.35,,1,automatic,nc,nc
2016-06-21T13:38:13.000Z,60.3916,-152.1791,74.4,1.7,ml,,,,0.12,ak,ak13672874,2016-06-21T14:07:49.536Z,"32km ESE of Redoubt Volcano, Alaska",earthquake,1,1.7,,,automatic,ak,ak
2016-06-21T13:27:11.200Z,36.7128,-98.3972,5.749,2.7,ml,,83,,0.19,us,us200065qc,2016-06-21T17:48:25.740Z,"5km SW of Cherokee, Oklahoma",earthquake,1.3,6.2,,,reviewed,tul,tul
2016-06-21T13:12:15.000Z,62.5886,-152.5976,0,1.2,ml,,,,0.45,ak,ak13672872,2016-06-21T14:07:48.812Z,"131km WNW of Talkeetna, Alaska",earthquake,0.3,0.5,,,automatic,ak,ak
2016-06-21T12:57:32.000Z,59.8172,-151.1428,49.9,1.5,ml,,,,0.09,ak,ak13672871,2016-06-21T13:31:32.593Z,"12km NE of Fritz Creek, Alaska",earthquake,1.4,1.6,,,automatic,ak,ak
2016-06-21T12:09:06.000Z,61.3551,-146.4368,20.1,1.6,ml,,,,0.84,ak,ak13672866,2016-06-21T12:58:08.166Z,"25km N of Valdez, Alaska",earthquake,0.2,0.3,,,automatic,ak,ak
2016-06-21T12:06:54.240Z,38.8378334,-122.8296661,2,1.35,md,24,76,0.004608,0.02,nc,nc72653866,2016-06-21T13:23:02.888Z,"9km W of Cobb, California",earthquake,0.22,0.37,0.19,6,automatic,nc,nc
2016-06-21T11:43:14.650Z,33.8191667,-117.8791667,5.19,1.2,ml,31,124,0.06362,0.22,ci,ci37394007,2016-06-21T20:07:57.769Z,"2km SSE of Anaheim, CA",earthquake,0.38,0.61,0.142,26,reviewed,ci,ci
2016-06-21T11:40:40.260Z,-23.4166,179.0773,565.03,5.3,mb,,51,5.724,0.91,us,us200065q4,2016-06-21T12:01:05.707Z,"South of the Fiji Islands",earthquake,9.3,5.3,0.028,422,reviewed,us,us
2016-06-21T11:33:39.190Z,38.7993317,-122.8018341,-0.44,1.28,md,11,159,0.01002,0.05,nc,nc72653841,2016-06-21T12:04:03.689Z,"4km WNW of The Geysers, California",earthquake,0.34,0.52,0.18,4,automatic,nc,nc
2016-06-21T11:31:28.000Z,63.5079,-147.3387,11.8,1.2,ml,,,,0.85,ak,ak13672428,2016-06-21T12:29:43.542Z,"81km E of Cantwell, Alaska",earthquake,0.4,0.3,,,automatic,ak,ak
2016-06-21T10:45:15.430Z,33.3898333,-116.426,9.8,1.13,ml,47,50,0.1196,0.19,ci,ci37393959,2016-06-21T13:17:39.900Z,"16km NNW of Borrego Springs, CA",earthquake,0.25,0.47,0.159,26,reviewed,ci,ci
2016-06-21T10:44:10.618Z,38.5791,-118.503,10.4,2.6,ml,23,42.12,0.051,0.1755,nn,nn00548770,2016-06-21T14:38:34.004Z,"12km ENE of Hawthorne, Nevada",earthquake,,0.7,0.44,8,reviewed,nn,nn
2016-06-21T10:33:48.000Z,60.9906,-148.1479,19.7,1.9,ml,,,,0.55,ak,ak13672000,2016-06-21T11:17:23.813Z,"37km NE of Whittier, Alaska",earthquake,0.2,0.5,,,automatic,ak,ak
2016-06-21T10:25:51.250Z,-17.5552,-71.5892,35,4.3,mb,,132,1.437,0.82,us,us200065pv,2016-06-21T11:08:43.477Z,"27km W of Pacocha, Peru",earthquake,8.2,2,0.154,12,reviewed,us,us
2016-06-21T10:08:19.000Z,61.5235,-147.429,32.6,1.3,ml,,,,1.18,ak,ak13671998,2016-06-21T10:45:35.267Z,"72km NW of Valdez, Alaska",earthquake,0.5,0.2,,,automatic,ak,ak
2016-06-21T09:43:18.000Z,61.7411,-149.6874,38.7,1.2,ml,,,,0.28,ak,ak13671996,2016-06-21T10:45:34.256Z,"13km NNW of Meadow Lakes, Alaska",earthquake,0.5,0.9,,,automatic,ak,ak
2016-06-21T09:13:32.000Z,61.2967,-146.4575,4.1,1.9,ml,,,,0.77,ak,ak13671990,2016-06-21T10:07:39.360Z,"19km NNW of Valdez, Alaska",earthquake,0.2,0.2,,,automatic,ak,ak
